card_name_x,set_id,card_number,binder_name,page_number,slot_number,card_id,card_name_y,set_name,card_market_value,index
Staryu,base1,65,1,17,8,base1-65,Staryu,Base,0.33,1-17-8
Double Colorless Energy,base1,96,1,17,9,base1-96,Double Colorless Energy,Base,5.69,1-17-9
Professor Oak,base1,88,1,18,1,base1-88,Professor Oak,Base,1.58,1-18-1
Bill,base1,91,1,18,2,base1-91,Bill,Base,0.35000000000000003,1-18-2
Energy Removal,base1,92,1,18,3,base1-92,Energy Removal,Base,0.4,1-18-3
Pokédex,base1,87,1,18,4,base1-87,Pokédex,Base,0.45,1-18-4
Switch,base1,95,1,18,5,base1-95,Switch,Base,0.28,1-18-5
Potion,base1,94,1,18,6,base1-94,Potion,Base,0.21,1-18-6
Super Potion,base1,90,1,18,7,base1-90,Super Potion,Base,0.31,1-18-7
Pokémon Center,base1,85,1,18,8,base1-85,Pokémon Center,Base,1.62,1-18-8
Energy Retrieval,base1,81,1,18,9,base1-81,Energy Retrieval,Base,0.68,1-18-9
Fire Energy,base1,98,1,19,1,base1-98,Fire Energy,Base,0.29,1-19-1
Lightning Energy,base1,100,1,19,2,base1-100,Lightning Energy,Base,0.33,1-19-2
Water Energy,base1,102,1,19,3,base1-102,Water Energy,Base,0.31,1-19-3
Grass Energy,base1,99,1,19,4,base1-99,Grass Energy,Base,0.32,1-19-4
Psychic Energy,base1,101,1,19,5,base1-101,Psychic Energy,Base,0.41000000000000003,1-19-5
Fighting Energy,base1,97,1,19,6,base1-97,Fighting Energy,Base,0.34,1-19-6
Double Colorless Energy,base1,96,1,19,7,base1-96,Double Colorless Energy,Base,5.69,1-19-7
Charizard,base1,4,1,19,8,base1-4,Charizard,Base,457.99,1-19-8
Blastoise,base1,2,1,19,9,base1-2,Blastoise,Base,157.48,1-19-9
Venusaur,base1,15,1,20,1,base1-15,Venusaur,Base,117.19,1-20-1
Mewtwo,base1,10,1,20,2,base1-10,Mewtwo,Base,37.58,1-20-2
Zapdos,base1,16,1,20,3,base1-16,Zapdos,Base,38.3,1-20-3
Gyarados,base1,6,1,20,4,base1-6,Gyarados,Base,32.75,1-20-4
Poliwrath,base1,13,1,20,5,base1-13,Poliwrath,Base,21.33,1-20-5
Nidoking,base1,11,1,20,6,base1-11,Nidoking,Base,27.88,1-20-6
Hitmonchan,base1,7,1,20,7,base1-7,Hitmonchan,Base,18.57,1-20-7
Magneton,base1,9,1,20,8,base1-9,Magneton,Base,20.58,1-20-8
Chansey,base1,3,1,20,9,base1-3,Chansey,Base,29.34,1-20-9
